CMDLINE python main.py
MEM 0.601562 1575914079.4060
MEM 7.597656 1575914079.5097
MEM 7.656250 1575914079.6106
MEM 7.656250 1575914079.7133
MEM 7.656250 1575914079.8173
MEM 7.656250 1575914079.9225
MEM 7.656250 1575914080.0265
MEM 7.656250 1575914080.1271
MEM 7.656250 1575914080.2300
MEM 7.656250 1575914080.3347
MEM 7.656250 1575914080.4376
MEM 7.656250 1575914080.5428
MEM 7.656250 1575914080.6433
MEM 7.656250 1575914080.7439
MEM 7.656250 1575914080.8467
MEM 7.656250 1575914080.9470
MEM 7.656250 1575914081.0502
MEM 7.656250 1575914081.1528
MEM 7.656250 1575914081.2563
MEM 7.656250 1575914081.3599
MEM 7.656250 1575914081.4632
MEM 7.656250 1575914081.5646
MEM 7.656250 1575914081.6686
MEM 7.656250 1575914081.7724
MEM 7.656250 1575914081.8756
MEM 7.656250 1575914081.9765
MEM 7.656250 1575914082.0772
MEM 7.656250 1575914082.1813
MEM 7.656250 1575914082.2866
MEM 7.656250 1575914082.3877
MEM 7.656250 1575914082.4904
MEM 7.656250 1575914082.5932
MEM 7.656250 1575914082.6958
MEM 7.656250 1575914082.7980
MEM 7.656250 1575914082.9023
MEM 7.656250 1575914083.0031
MEM 7.656250 1575914083.1037
MEM 7.656250 1575914083.2081
MEM 7.656250 1575914083.3099
MEM 7.656250 1575914083.4105
